week,month,service,available_beds,patients_admitted,patient_satisfaction,staff_morale,event,staff_id,staff_name,role,staff_present
1,1,emergency,32,32,67,70,none,STF-15c07995,"Anthony Rodriguez",doctor,1
1,1,emergency,32,32,67,70,none,STF-0aaed714,"Rebecca Henderson",doctor,1
1,1,emergency,32,32,67,70,none,STF-30d44186,"James Ferrell",doctor,1
1,1,emergency,32,32,67,70,none,STF-46e008d1,"Tricia Valencia",doctor,1
1,1,emergency,32,32,67,70,none,STF-5ca26577,"Allison Hill",doctor,1
1,1,emergency,32,32,67,70,none,STF-02ae59ca,"Noah Rhodes",doctor,1
1,1,emergency,32,32,67,70,none,STF-d8006e7c,"Angie Henderson",doctor,1
1,1,emergency,32,32,67,70,none,STF-212d8b31,"Daniel Wagner",doctor,1
1,1,emergency,32,32,67,70,none,STF-107a58e4,"Cristian Santos",doctor,1
1,1,emergency,32,32,67,70,none,STF-ca932dea,"Connie Lawrence",nurse,1
1,1,emergency,32,32,67,70,none,STF-39082289,"Abigail Shaffer",nurse,1
1,1,emergency,32,32,67,70,none,STF-702887af,"Gina Moore",nurse,1
1,1,emergency,32,32,67,70,none,STF-249f63bb,"Gabrielle Davis",nurse,1
1,1,emergency,32,32,67,70,none,STF-094f410b,"Ryan Munoz",nurse,0
1,1,emergency,32,32,67,70,none,STF-d7ab0c23,"Monica Herrera",nurse,1
1,1,emergency,32,32,67,70,none,STF-e51bdcb4,"Jamie Arnold",nurse,1
1,1,emergency,32,32,67,70,none,STF-8cabb71f,"Lisa Hensley",nurse,1
1,1,emergency,32,32,67,70,none,STF-34c0563d,"Michele Williams",nurse,0
1,1,emergency,32,32,67,70,none,STF-130577e6,"Dylan Miller",nurse,1
1,1,emergency,32,32,67,70,none,STF-768c9d6f,"Brian Ramirez",nurse,1
1,1,emergency,32,32,67,70,none,STF-abec8336,"Holly Wood",nurse,1
1,1,emergency,32,32,67,70,none,STF-6f6535f8,"Derek Zuniga",nurse,1
1,1,emergency,32,32,67,70,none,STF-b4fb711c,"Lisa Jackson",nurse,1
1,1,emergency,32,32,67,70,none,STF-434f45a6,"Carla Gray",nurse,0
1,1,emergency,32,32,67,70,none,STF-db5926dd,"Margaret Hawkins DDS",nurse,1
1,1,emergency,32,32,67,70,none,STF-99227609,"Patty Perez",nurse,1
1,1,emergency,32,32,67,70,none,STF-fd4df1f4,"Ethan Adams",nurse,1
1,1,emergency,32,32,67,70,none,STF-317a74b9,"Tommy Walter",nurse,1
1,1,emergency,32,32,67,70,none,STF-f2a7bd6f,"Nathan Maldonado",nurse,1
1,1,emergency,32,32,67,70,none,STF-d7c28217,"Debra Davidson",nurse,1
1,1,emergency,32,32,67,70,none,STF-2bfe24c1,"Jeffrey Chavez",nurse,1
1,1,emergency,32,32,67,70,none,STF-3abc4202,"Sherri Baker",nurse,1
1,1,emergency,32,32,67,70,none,STF-bc33b33b,"Cassandra Gaines",nurse,1
1,1,emergency,32,32,67,70,none,STF-2c155ebf,"Elizabeth Fowler",nurse,1
1,1,emergency,32,32,67,70,none,STF-1ad309f8,"Matthew Foster",nursing_assistant,1
1,1,emergency,32,32,67,70,none,STF-4ed3b149,"Judy Baker",nursing_assistant,1
1,1,emergency,32,32,67,70,none,STF-a8e146c6,"Justin Baker",nursing_assistant,0
1,1,emergency,32,32,67,70,none,STF-b9e859d8,"Stephanie Ross",nursing_assistant,1
1,1,emergency,32,32,67,70,none,STF-bc4c419e,"Zachary Hicks",nursing_assistant,1
1,1,general_medicine,37,37,97,43,flu,STF-00b6381d,"Steve Sanchez",doctor,1
1,1,general_medicine,37,37,97,43,flu,STF-cb0c3c50,"Lisa Barnes",doctor,1
1,1,general_medicine,37,37,97,43,flu,STF-dd7b8861,"Kelly Donovan",doctor,1
1,1,general_medicine,37,37,97,43,flu,STF-0b0dfb38,"Mike Allen",doctor,1
1,1,general_medicine,37,37,97,43,flu,STF-a1659ed6,"Michael Evans",doctor,1
1,1,general_medicine,37,37,97,43,flu,STF-ab59db32,"Paul Jones",doctor,1
1,1,general_medicine,37,37,97,43,flu,STF-3bbc468d,"Zachary Ferrell",nurse,1
1,1,general_medicine,37,37,97,43,flu,STF-6c412e28,"Daniel Baker",nurse,1
1,1,general_medicine,37,37,97,43,flu,STF-d7371c06,"Shirley Suarez",nurse,1
1,1,general_medicine,37,37,97,43,flu,STF-d77b1013,"Christopher Bass",nurse,1
1,1,general_medicine,37,37,97,43,flu,STF-a94474ff,"Lisa Archer",nurse,1
1,1,general_medicine,37,37,97,43,flu,STF-3c9039fc,"Aimee Montoya",nurse,1
1,1,general_medicine,37,37,97,43,flu,STF-cacb7290,"Matthew Mcmillan",nurse,1
1,1,general_medicine,37,37,97,43,flu,STF-446cb017,"Brian Rodriguez",nurse,1
1,1,general_medicine,37,37,97,43,flu,STF-d569a861,"Jessica Callahan",nurse,1
1,1,general_medicine,37,37,97,43,flu,STF-48fc5275,"Amber Kidd",nurse,1
1,1,general_medicine,37,37,97,43,flu,STF-3ea6bb2e,"Tracy House",nurse,1
